DATE,CLOSE,X0,X1,X2,X3,X4,X5,,
42495,4309.484,4363.993,4341.299,4381.304,4341.392,4312.014,4309.484,,
42496,4330.168,4341.299,4381.304,4341.392,4312.014,4309.484,4330.168,,
42499,4341.23,4381.304,4341.392,4312.014,4309.484,4330.168,4341.23,,
42500,4402.038,4341.392,4312.014,4309.484,4330.168,4341.23,4402.038,,
42501,4361.033,4312.014,4309.484,4330.168,4341.23,4402.038,4361.033,,
42502,4342.809,4309.484,4330.168,4341.23,4402.038,4361.033,4342.809,,
42503,4326.531,4330.168,4341.23,4402.038,4361.033,4342.809,4326.531,,
42506,4380.483,4341.23,4402.038,4361.033,4342.809,4326.531,4380.483,,
42507,4322.557,4402.038,4361.033,4342.809,4326.531,4380.483,4322.557,,
42508,4338.232,4361.033,4342.809,4326.531,4380.483,4322.557,4338.232,,
42509,4315.579,4342.809,4326.531,4380.483,4322.557,4338.232,4315.579,,
42510,4362.903,4326.531,4380.483,4322.557,4338.232,4315.579,4362.903,,
42513,4355.099,4380.483,4322.557,4338.232,4315.579,4362.903,4355.099,,
42514,4444.297,4322.557,4338.232,4315.579,4362.903,4355.099,4444.297,,
42515,4476.434,4338.232,4315.579,4362.903,4355.099,4444.297,4476.434,,
42516,4487.96,4315.579,4362.903,4355.099,4444.297,4476.434,4487.96,,
42517,4512.541,4362.903,4355.099,4444.297,4476.434,4487.96,4512.541,,
42521,4523.893,4355.099,4444.297,4476.434,4487.96,4512.541,4523.893,,
42522,4520.068,4444.297,4476.434,4487.96,4512.541,4523.893,4520.068,,
42523,4531.349,4476.434,4487.96,4512.541,4523.893,4520.068,4531.349,,
42524,4509.792,4487.96,4512.541,4523.893,4520.068,4531.349,4509.792,,
42527,4523.633,4512.541,4523.893,4520.068,4531.349,4509.792,4523.633,,
42528,4513.087,4523.893,4520.068,4531.349,4509.792,4523.633,4513.087,,
42529,4520.628,4520.068,4531.349,4509.792,4523.633,4513.087,4520.628,,
42530,4512.689,4531.349,4509.792,4523.633,4513.087,4520.628,4512.689,,
42531,4461.049,4509.792,4523.633,4513.087,4520.628,4512.689,4461.049,,
42534,4422.759,4523.633,4513.087,4520.628,4512.689,4461.049,4422.759,,
42535,4424.912,4513.087,4520.628,4512.689,4461.049,4422.759,4424.912,,
42536,4409.51,4520.628,4512.689,4461.049,4422.759,4424.912,4409.51,,
42537,4424.233,4512.689,4461.049,4422.759,4424.912,4409.51,4424.233,,
42538,4374.38,4461.049,4422.759,4424.912,4409.51,4424.233,4374.38,,
42541,4400.158,4422.759,4424.912,4409.51,4424.233,4374.38,4400.158,,
42542,4413.404,4424.912,4409.51,4424.233,4374.38,4400.158,4413.404,,
42543,4404.726,4409.51,4424.233,4374.38,4400.158,4413.404,4404.726,,
42544,4467.481,4424.233,4374.38,4400.158,4413.404,4404.726,4467.481,,
42545,4285.701,4374.38,4400.158,4413.404,4404.726,4467.481,4285.701,,
42548,4201.055,4400.158,4413.404,4404.726,4467.481,4285.701,4201.055,,
42549,4290.467,4413.404,4404.726,4467.481,4285.701,4201.055,4290.467,,
42550,4364.738,4404.726,4467.481,4285.701,4201.055,4290.467,4364.738,,
42551,4417.699,4467.481,4285.701,4201.055,4290.467,4364.738,4417.699,,
42552,4437.444,4285.701,4201.055,4290.467,4364.738,4417.699,4437.444,,
42556,4410.747,4201.055,4290.467,4364.738,4417.699,4437.444,4410.747,,
42557,4444.703,4290.467,4364.738,4417.699,4437.444,4410.747,4444.703,,
42558,4459.584,4364.738,4417.699,4437.444,4410.747,4444.703,4459.584,,
42559,4528.364,4417.699,4437.444,4410.747,4444.703,4459.584,4528.364,,
42562,4554.709,4437.444,4410.747,4444.703,4459.584,4528.364,4554.709,,
42563,4577.612,4410.747,4444.703,4459.584,4528.364,4554.709,4577.612,,
42564,4565.771,4444.703,4459.584,4528.364,4554.709,4577.612,4565.771,,
42565,4596.488,4459.584,4528.364,4554.709,4577.612,4565.771,4596.488,,
42566,4589.828,4528.364,4554.709,4577.612,4565.771,4596.488,4589.828,,
42569,4619.68,4554.709,4577.612,4565.771,4596.488,4589.828,4619.68,,
42570,4603.284,4577.612,4565.771,4596.488,4589.828,4619.68,4603.284,,
42571,4657.2,4565.771,4596.488,4589.828,4619.68,4603.284,4657.2,,
42572,4647.016,4596.488,4589.828,4619.68,4603.284,4657.2,4647.016,,
42573,4666.071,4589.828,4619.68,4603.284,4657.2,4647.016,4666.071,,
42576,4665.928,4619.68,4603.284,4657.2,4647.016,4666.071,4665.928,,
42577,4672.112,4603.284,4657.2,4647.016,4666.071,4665.928,4672.112,,
42578,4702.885,4657.2,4647.016,4666.071,4665.928,4672.112,4702.885,,
42579,4721.409,4647.016,4666.071,4665.928,4672.112,4702.885,4721.409,,
42580,4730.231,4666.071,4665.928,4672.112,4702.885,4721.409,4730.231,,
42583,4756.039,4665.928,4672.112,4702.885,4721.409,4730.231,4756.039,,
42584,4719.212,4672.112,4702.885,4721.409,4730.231,4756.039,4719.212,,
42585,4734.329,4702.885,4721.409,4730.231,4756.039,4719.212,4734.329,,
42586,4743.812,4721.409,4730.231,4756.039,4719.212,4734.329,4743.812,,
42587,4791.209,4730.231,4756.039,4719.212,4734.329,4743.812,4791.209,,
42590,4784.743,4756.039,4719.212,4734.329,4743.812,4791.209,4784.743,,
42591,4795.749,4719.212,4734.329,4743.812,4791.209,4784.743,4795.749,,
42592,4783.393,4734.329,4743.812,4791.209,4784.743,4795.749,4783.393,,
42593,4803.314,4743.812,4791.209,4784.743,4795.749,4783.393,4803.314,,
42594,4807.076,4791.209,4784.743,4795.749,4783.393,4803.314,4807.076,,
42597,4827.116,4784.743,4795.749,4783.393,4803.314,4807.076,4827.116,,
42598,4797.188,4795.749,4783.393,4803.314,4807.076,4827.116,4797.188,,
42599,4805.453,4783.393,4803.314,4807.076,4827.116,4797.188,4805.453,,
42600,4808.684,4803.314,4807.076,4827.116,4797.188,4805.453,4808.684,,
42601,4806.138,4807.076,4827.116,4797.188,4805.453,4808.684,4806.138,,
42604,4808.558,4827.116,4797.188,4805.453,4808.684,4806.138,4808.558,,
42605,4818.479,4797.188,4805.453,4808.684,4806.138,4808.558,4818.479,,
42606,4783.485,4805.453,4808.684,4806.138,4808.558,4818.479,4783.485,,
42607,4775.425,4808.684,4806.138,4808.558,4818.479,4783.485,4775.425,,
42608,4783.694,4806.138,4808.558,4818.479,4783.485,4775.425,4783.694,,
42611,4791.086,4808.558,4818.479,4783.485,4775.425,4783.694,4791.086,,
42612,4775.995,4818.479,4783.485,4775.425,4783.694,4791.086,4775.995,,
42613,4771.055,4783.485,4775.425,4783.694,4791.086,4775.995,4771.055,,
42614,4783.938,4775.425,4783.694,4791.086,4775.995,4771.055,4783.938,,
42615,4798.741,4783.694,4791.086,4775.995,4771.055,4783.938,4798.741,,
42619,4829.512,4791.086,4775.995,4771.055,4783.938,4798.741,4829.512,,
42620,4831.861,4775.995,4771.055,4783.938,4798.741,4829.512,4831.861,,
42621,4803.998,4771.055,4783.938,4798.741,4829.512,4831.861,4803.998,,
42622,4681.535,4783.938,4798.741,4829.512,4831.861,4803.998,4681.535,,
42625,4764.652,4798.741,4829.512,4831.861,4803.998,4681.535,4764.652,,
42626,4722.845,4829.512,4831.861,4803.998,4681.535,4764.652,4722.845,,
42627,4746.063,4831.861,4803.998,4681.535,4764.652,4722.845,4746.063,,
42628,4819.896,4803.998,4681.535,4764.652,4722.845,4746.063,4819.896,,
42629,4818.054,4681.535,4764.652,4722.845,4746.063,4819.896,4818.054,,
42632,4796.071,4764.652,4722.845,4746.063,4819.896,4818.054,4796.071,,
42633,4805.22,4722.845,4746.063,4819.896,4818.054,4796.071,4805.22,,
42634,4853.748,4746.063,4819.896,4818.054,4796.071,4805.22,4853.748,,
42635,4891.363,4819.896,4818.054,4796.071,4805.22,4853.748,4891.363,,
42636,4858.909,4818.054,4796.071,4805.22,4853.748,4891.363,4858.909,,
42639,4817.167,4796.071,4805.22,4853.748,4891.363,4858.909,4817.167,,
42640,4866.706,4805.22,4853.748,4891.363,4858.909,4817.167,4866.706,,
42641,4875.269,4853.748,4891.363,4858.909,4817.167,4866.706,4875.269,,
42642,4838.3,4891.363,4858.909,4817.167,4866.706,4875.269,4838.3,,
42643,4875.697,4858.909,4817.167,4866.706,4875.269,4838.3,4875.697,,
42646,4866.625,4817.167,4866.706,4875.269,4838.3,4875.697,4866.625,,
42647,4859.467,4866.706,4875.269,4838.3,4875.697,4866.625,4859.467,,
42648,4877.749,4875.269,4838.3,4875.697,4866.625,4859.467,4877.749,,
42649,4873.924,4838.3,4875.697,4866.625,4859.467,4877.749,4873.924,,
42650,4864.522,4875.697,4866.625,4859.467,4877.749,4873.924,4864.522,,
42653,4893.768,4866.625,4859.467,4877.749,4873.924,4864.522,4893.768,,
42654,4821.914,4859.467,4877.749,4873.924,4864.522,4893.768,4821.914,,
42655,4819.635,4877.749,4873.924,4864.522,4893.768,4821.914,4819.635,,
42656,4803.102,4873.924,4864.522,4893.768,4821.914,4819.635,4803.102,,
42657,4808.485,4864.522,4893.768,4821.914,4819.635,4803.102,4808.485,,
42660,4796.169,4893.768,4821.914,4819.635,4803.102,4808.485,4796.169,,
42661,4839.721,4821.914,4819.635,4803.102,4808.485,4796.169,4839.721,,
42662,4836.61,4819.635,4803.102,4808.485,4796.169,4839.721,4836.61,,
42663,4832.71,4803.102,4808.485,4796.169,4839.721,4836.61,4832.71,,
42664,4851.861,4808.485,4796.169,4839.721,4836.61,4832.71,4851.861,,
42667,4909.969,4796.169,4839.721,4836.61,4832.71,4851.861,4909.969,,
42668,4891.455,4839.721,4836.61,4832.71,4851.861,4909.969,4891.455,,
42669,4860.593,4836.61,4832.71,4851.861,4909.969,4891.455,4860.593,,
42670,4836.447,4832.71,4851.861,4909.969,4891.455,4860.593,4836.447,,
42671,4805.593,4851.861,4909.969,4891.455,4860.593,4836.447,4805.593,,
42674,4801.271,4909.969,4891.455,4860.593,4836.447,4805.593,4801.271,,
42675,4766.937,4891.455,4860.593,4836.447,4805.593,4801.271,4766.937,,
42676,4726.907,4860.593,4836.447,4805.593,4801.271,4766.937,4726.907,,
42677,4679.103,4836.447,4805.593,4801.271,4766.937,4726.907,4679.103,,
42678,4660.457,4805.593,4801.271,4766.937,4726.907,4679.103,4660.457,,
42681,4773.729,4801.271,4766.937,4726.907,4679.103,4660.457,4773.729,,
42682,4804.92,4766.937,4726.907,4679.103,4660.457,4773.729,4804.92,,
42683,4825.184,4726.907,4679.103,4660.457,4773.729,4804.92,4825.184,,
42684,4747.028,4679.103,4660.457,4773.729,4804.92,4825.184,4747.028,,
42685,4751.951,4660.457,4773.729,4804.92,4825.184,4747.028,4751.951,,
42688,4702.045,4773.729,4804.92,4825.184,4747.028,4751.951,4702.045,,
42689,4764.474,4804.92,4825.184,4747.028,4751.951,4702.045,4764.474,,
42690,4792.268,4825.184,4747.028,4751.951,4702.045,4764.474,4792.268,,
42691,4826.587,4747.028,4751.951,4702.045,4764.474,4792.268,4826.587,,
